 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
80,5992350,3,1,12,0,6,0,4,3.464101615,0,0,0,0,2.002553255,0.667517752,1997450,3439526.72,5969051,109,5992350,2996175,4204281.558,5969051,23299,0,0,0,0,0,0,0,0,0,72,32,0.500638314,0.166879438,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3,4,0,72,0,0,0,0,0,0,3,12,1,0,8192,29200,2,20,0,0,0,0,0,0,0,0,BENIGN
53,50897,1,1,59,145,59,59,59,0,145,145,145,0,4008.09478,39.29504686,50897,0,50897,50897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,19.64752343,19.64752343,59,145,87.66666667,49.65212315,2465.333333,0,0,0,0,0,0,0,0,1,131.5,59,145,32,0,0,0,0,0,0,1,59,1,145,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5351955,3,1,0,0,0,0,0,0,0,0,0,0,0,0.74739044,1783985,3089351.646,5351261,124,5351955,2675977.5,3783422.209,5351261,694,0,0,0,0,0,0,0,0,0,104,40,0.56054283,0.18684761,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack Brute Force
53,70420,2,2,96,612,48,48,48,0,306,306,306,0,10053.96194,56.80204487,23473.33333,40650.94378,70413,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,28.40102244,28.40102244,48,306,151.2,141.3124198,19969.2,0,0,0,0,0,0,0,0,1,189,48,306,64,0,0,0,0,0,0,2,96,2,612,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
49750,1,2,0,12,0,6,6,6,0,0,0,0,0,12000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,4965,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,142,2,2,66,98,33,33,33,0,49,49,49,0,1154929.577,28169.01408,47.33333333,75.92320682,135,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,14084.50704,14084.50704,33,49,39.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,49.25,33,49,64,0,0,0,0,0,0,2,66,2,98,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,145298,1,1,52,164,52,52,52,0,164,164,164,0,1486.599953,13.76481438,145298,0,145298,145298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,6.882407191,6.882407191,52,164,89.33333333,64.66323015,4181.333333,0,0,0,0,0,0,0,0,1,134,52,164,20,0,0,0,0,0,0,1,52,1,164,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
443,4,2,0,12,0,6,6,6,0,0,0,0,0,3000000,500000,4,0,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,40,0,500000,0,6,6,6,0,0,1,0,0,0,0,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,0,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,5246586,3,1,0,0,0,0,0,0,0,0,0,0,0,0.76240054,1748862,3028531.548,5245909,125,5246586,2623293,3708939.116,5245909,677,0,0,0,0,0,0,0,0,0,104,40,0.571800405,0.190600135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack Brute Force
53,46927,2,2,90,354,45,45,45,0,177,177,177,0,9461.504038,85.23877512,15642.33333,27086.38788,46919,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,40,42.61938756,42.61938756,45,177,97.8,72.29937759,5227.2,0,0,0,0,0,0,0,0,1,122.25,45,177,64,0,0,0,0,0,0,2,90,2,354,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
443,22300,2,0,12,0,6,6,6,0,0,0,0,0,538.1165919,89.68609865,22300,0,22300,22300,22300,22300,0,22300,22300,0,0,0,0,0,0,0,0,0,40,0,89.68609865,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,30275,1,1,53,117,53,53,53,0,117,117,117,0,5615.194055,66.06110652,30275,0,30275,30275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,33.03055326,33.03055326,53,117,74.33333333,36.95041723,1365.333333,0,0,0,0,0,0,0,0,1,111.5,53,117,20,0,0,0,0,0,0,1,53,1,117,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5317307,3,1,0,0,0,0,0,0,0,0,0,0,0,0.752260496,1772435.667,3069181.349,5316421,97,5317307,2658653.5,3758650.844,5316421,886,0,0,0,0,0,0,0,0,0,104,40,0.564195372,0.188065124,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack XSS
53,160,2,2,78,110,39,39,39,0,55,55,55,0,1175000,25000,53.33333333,52.2047252,108,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,64,64,12500,12500,39,55,45.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,56.75,39,55,64,0,0,0,0,0,0,2,78,2,110,-1,-1,1,32,0,0,0,0,0,0,0,0,BENIGN
53,79695,1,1,40,132,40,40,40,0,132,132,132,0,2158.228245,25.09567727,79695,0,79695,79695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,12.54783863,12.54783863,40,132,70.66666667,53.11622477,2821.333333,0,0,0,0,0,0,0,0,1,106,40,132,20,0,0,0,0,0,0,1,40,1,132,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
80,5180854,3,1,0,0,0,0,0,0,0,0,0,0,0,0.772073484,1726951.333,2990410.562,5179980,124,5180854,2590427,3662180.973,5179980,874,0,0,0,0,0,0,0,0,0,104,40,0.579055113,0.193018371,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack XSS
49467,41,1,1,6,6,6,6,6,0,6,6,6,0,292682.9268,48780.4878,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24390.2439,24390.2439,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,251,256,0,20,0,0,0,0,0,0,0,0,BENIGN
